Oorder_id,customer_name,email,product,category,order_date,payment_method,total_amount,status,estimated_delivery,refund_status,shipping_city
ORD1001,Rahul Sharma,rahul1@gmail.com,Kurti Set,Fashion,2026-01-10,Credit Card,19361,Processing,2026-01-20,Pending Refund,Jaipur
ORD1002,Karan Patel,karan2@gmail.com,Gaming Mouse,Electronics,2026-01-19,Debit Card,650,Refund Initiated,N/A,Pending Refund,Jaipur
ORD1003,Karan Patel,karan3@gmail.com,Wireless Earbuds,Electronics,2026-01-16,Credit Card,725,Shipped,2026-01-26,Pending Refund,Chandigarh
ORD1004,Priya Verma,priya4@gmail.com,Gaming Mouse,Electronics,2026-02-15,COD,18238,Refund Initiated,N/A,Completed,Delhi
ORD1005,Rahul Sharma,rahul5@gmail.com,Smart Watch,Electronics,2026-02-15,COD,15346,Refund Initiated,N/A,Completed,Jaipur
ORD1006,Karan Patel,karan6@gmail.com,Running Shoes,Fashion,2026-01-19,Debit Card,11350,Cancelled,N/A,Completed,Delhi
ORD1007,Simran Kaur,simran7@gmail.com,Running Shoes,Fashion,2026-01-19,COD,13313,Processing,2026-01-26,None,Chandigarh
ORD1008,Sneha Kapoor,sneha8@gmail.com,Kurti Set,Fashion,2026-02-01,Debit Card,2844,Refund Initiated,N/A,None,Kolkata
ORD1009,Sneha Kapoor,sneha9@gmail.com,Mobile Phone,Electronics,2026-02-07,UPI,2821,Refund Initiated,N/A,Not Applicable,Mumbai
ORD1010,Arjun Mehta,arjun10@gmail.com,Laptop Backpack,Accessories,2026-02-05,Debit Card,9580,Cancelled,N/A,Pending Refund,Hyderabad
ORD1011,Amit Singh,amit11@gmail.com,Bluetooth Speaker,Electronics,2026-01-11,COD,551,Processing,2026-01-17,Pending Refund,Pune
ORD1012,Priya Verma,priya12@gmail.com,Running Shoes,Fashion,2026-01-22,Debit Card,3031,Shipped,2026-01-24,Pending Refund,Chandigarh
ORD1013,Karan Patel,karan13@gmail.com,Wireless Earbuds,Electronics,2026-01-29,Credit Card,10734,Shipped,2026-02-04,Pending Refund,Mumbai
ORD1014,Priya Verma,priya14@gmail.com,Kurti Set,Fashion,2026-01-06,Credit Card,7576,Processing,2026-01-10,Completed,Delhi
ORD1015,Karan Patel,karan15@gmail.cRunning Shoes,Fashion,2026-01-11,UPI,544,Refund Initiated,N/A,Completed,Pune
ORD1016,Neha Gupta,neha16@gmail.com,Kurti Set,Fashion,2026-02-07,UPI,7269,Shipped,2026-02-09,Not Requested,Hyderabad
ORD1017,Neha Gupta,neha17@gmail.com,Wireless Earbuds,Electronics,2026-01-29,Credit Card,15653,Shipped,2026-02-08,Not Requested,Kolkata
ORD1018,Amit Singh,amit18@gmail.com,Running Shoes,Fashion,2026-02-10,Net Banking,11352,Shipped,2026-02-19,Not Requested,Chandigarh
ORD1019,Karan Patel,karan19@gmail.com,Kurti Set,Fashion,2026-02-11,Debit Card,19675,Refund Initiated,N/A,Completed,Jaipur
ORD1020,Priya Verma,priya20@gmail.com,Kurti Set,Fashion,2026-01-27,Credit Card,3120,Processing,2026-02-06,Completed,Bangalore
ORD1021,Neha Gupta,neha21@gmail.com,Mobile Phone,Electronics,2026-02-15,UPI,18975,Refund Initiated,N/A,Not Requested,Delhi
ORD1022,Sneha Kapoor,sneha22@gmail.com,Running Shoes,Fashion,2026-02-13,Debit Card,11787,Refund Initiated,N/A,None,Jaipur
ORD1023,Sneha Kapoor,sneha23@gmail.com,Smart Watch,Electronics,2026-01-21,Net Banking,13686,Refund Initiated,N/A,Not Applicable,Chandigarh
ORD1024,Arjun Mehta,arjun24@gmail.com,Kurti Set,Fashion,2026-01-11,Debit Card,19006,Refund Initiated,N/A,None,Pune
ORD1025,Sneha Kapoor,sneha25@gmail.com,Laptop Backpack,Accessories,2026-01-04,Debit Card,4196,Cancelled,N/A,None,Chandigarh
